Force_Target_N,Force_Actual_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain,Completed_Date
42,54.247956,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,44.94972166315087,17.82543266315087,.657176,Mo 9. Feb 15:54:04 CET 2026
18,23.249124,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,32.21187538431598,5.08758638431598,.187565,Mo 9. Feb 15:54:04 CET 2026
24,30.998832,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,34.86775613195964,7.74346713195964,.285480,Mo 9. Feb 15:54:05 CET 2026
45,58.122810,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,46.29373689409372,19.16944789409372,.706726,Mo 9. Feb 15:54:10 CET 2026
27,34.873686,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,36.446956132377025,9.322667132377025,.343701,Mo 9. Feb 15:54:16 CET 2026
21,27.123978,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,33.458103003409875,6.333814003409875,.233510,Mo 9. Feb 15:54:17 CET 2026
21,24.625281,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,36.85311102944402,6.97650802944402,.233510,Mo 9. Feb 15:54:17 CET 2026
18,21.107384,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,35.48042890931641,5.60382590931641,.187565,Mo 9. Feb 15:54:17 CET 2026
39,50.373102,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,43.43691847219704,16.31262947219704,.601403,Mo 9. Feb 15:54:18 CET 2026
12,15.499416,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,30.133585894440845,3.009296894440845,.110944,Mo 9. Feb 15:54:19 CET 2026
3,3.874854,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.769095985182467,.644806985182467,.023772,Mo 9. Feb 15:54:22 CET 2026
36,46.498248,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,41.763333361596644,14.639044361596644,.539702,Mo 9. Feb 15:54:22 CET 2026
33,42.623394,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,39.978119107252695,12.853830107252695,.473886,Mo 9. Feb 15:54:24 CET 2026
9,11.624562,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,29.261426964718122,2.137137964718122,.078790,Mo 9. Feb 15:54:26 CET 2026
12,14.071589,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,33.19125730513927,3.31465430513927,.110944,Mo 9. Feb 15:54:27 CET 2026
3,3.517897,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.58683862855047,.71023562855047,.023772,Mo 9. Feb 15:54:28 CET 2026
6,7.749708,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,28.477780462169648,1.353491462169648,.049899,Mo 9. Feb 15:54:28 CET 2026
