Force_Target_N,Force_Actual_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain,Completed_Date
36,2.751163,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.575964191439496,.451675191439496,.016652,So 8. Feb 22:31:19 CET 2026
3,.208143,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,29.916856082480887,.040253082480887,.001347,So 8. Feb 22:31:20 CET 2026
15,1.146318,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.308962537947817,.184673537947817,.006808,So 8. Feb 22:31:21 CET 2026
30,2.292636,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.498640576884114,.374351576884114,.013801,So 8. Feb 22:31:27 CET 2026
27,2.063372,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.460293658807117,.336004658807117,.012387,So 8. Feb 22:31:27 CET 2026
33,2.521899,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.537196643913614,.412907643913614,.015222,So 8. Feb 22:31:30 CET 2026
0,0,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.124288999999987,-.000000000000013,0,So 8. Feb 22:31:32 CET 2026
9,.687790,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.234505031502927,.110216031502927,.004063,So 8. Feb 22:31:33 CET 2026
0,0,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,29.87660300000001,.00000000000001,0,So 8. Feb 22:31:34 CET 2026
45,3.438954,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.693553715492737,.569264715492737,.020987,So 8. Feb 22:31:34 CET 2026
39,2.980427,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.614944911086045,.490655911086045,.018089,So 8. Feb 22:31:36 CET 2026
21,1.604845,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.384220516751622,.259931516751622,.009582,So 8. Feb 22:31:37 CET 2026
42,3.209690,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.654140707999755,.529851707999755,.019534,So 8. Feb 22:31:37 CET 2026
18,1.375581,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.34649050193917,.22220150193917,.008191,So 8. Feb 22:31:39 CET 2026
24,1.834109,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.42215434616669,.29786534616669,.010981,So 8. Feb 22:31:41 CET 2026
6,.458527,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.197572293187747,.073283293187747,.002701,So 8. Feb 22:31:45 CET 2026
12,.917054,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.271635235393777,.147346235393777,.005432,So 8. Feb 22:31:45 CET 2026
3,.229263,6.8800,27.124289,3.942484,421.6,550,10.493,27.124289,27.16083386516492,.03654486516492,.001347,So 8. Feb 22:31:55 CET 2026
12,.832574,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.038899785042446,.162296785042446,.005432,So 8. Feb 22:48:49 CET 2026
21,1.457004,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.162909816307923,.286306816307923,.009582,So 8. Feb 22:48:57 CET 2026
9,.624430,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,29.998002594018555,.121399594018555,.004063,So 8. Feb 22:49:15 CET 2026
27,1.873292,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.24670229096607,.37009929096607,.012387,So 8. Feb 22:49:16 CET 2026
24,1.665148,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.20469281234182,.32808981234182,.010981,So 8. Feb 22:49:16 CET 2026
15,1.040717,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.080015269856823,.203412269856823,.006808,So 8. Feb 22:49:23 CET 2026
18,1.248861,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.121351436889018,.244748436889018,.008191,So 8. Feb 22:49:25 CET 2026
6,.382594,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.595483407015784,.087827407015784,.002701,So 8. Feb 22:49:27 CET 2026
30,2.081435,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.288940111622114,.412337111622114,.013801,So 8. Feb 22:49:29 CET 2026
42,2.914009,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.460218918092743,.583615918092743,.019534,So 8. Feb 22:49:29 CET 2026
6,.416287,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,29.957322130391947,.080719130391947,.002701,So 8. Feb 22:49:30 CET 2026
0,0,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.507656,0,0,So 8. Feb 22:49:33 CET 2026
45,3.122153,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.503631330589105,.627028330589105,.020987,So 8. Feb 22:49:34 CET 2026
3,.191297,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.551454151277156,.043798151277156,.001347,So 8. Feb 22:49:35 CET 2026
36,2.497722,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.374109765069797,.497506765069797,.016652,So 8. Feb 22:49:41 CET 2026
9,.573891,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.639746532414755,.132090532414755,.004063,So 8. Feb 22:49:43 CET 2026
39,2.705866,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.417045991876684,.540442991876684,.018089,So 8. Feb 22:49:46 CET 2026
33,2.289579,7.9533,29.876603,3.756504,421.6,550,10.493,29.876603,30.331408665670214,.454805665670214,.015222,So 8. Feb 22:49:51 CET 2026
12,.765188,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.684245161217916,.176589161217916,.005432,So 8. Feb 23:06:31 CET 2026
15,.956485,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.728981533498306,.221325533498306,.006808,So 8. Feb 23:06:43 CET 2026
24,1.530377,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.864638671728585,.356982671728585,.010981,So 8. Feb 23:06:47 CET 2026
27,1.721674,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.910347551148114,.402691551148114,.012387,So 8. Feb 23:06:57 CET 2026
0,0,10.1000,35.035940,3.468905,421.6,550,10.493,35.035940,35.03593999999999,-.00000000000001,0,So 8. Feb 23:07:05 CET 2026
18,1.147783,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.77395795447577,.26630195447577,.008191,So 8. Feb 23:07:06 CET 2026
21,1.339080,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.81917619014383,.31152019014383,.009582,So 8. Feb 23:07:06 CET 2026
33,2.104269,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,33.00251379495345,.49485779495345,.015222,So 8. Feb 23:07:07 CET 2026
30,1.912971,9.0267,32.507656,3.601278,421.6,550,10.493,32.507656,32.956305028196056,.448649028196056,.013801,So 8. Feb 23:07:07 CET 2026
