Force_Target_N,Force_Actual_N,Stress_N_per_cm2,Aspect_Ratio_b_a,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Prestretch_Final_Length_cm,Prestretch_Elongation_cm,Prestretch_Strain,Max_Length_cm,Min_Length_cm,ROM_cm,Contraction_Strain,Completed_Date
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.769124570141706,25.077824093046015,2.691300477095691,.099220,Fr 27. Feb 20:43:10 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.769124569699716,25.07810990575849,2.691014663941226,.099210,Fr 27. Feb 20:43:11 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.477809703404194,25.538081780989067,2.939727922415127,.108379,Fr 27. Feb 20:43:13 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,27.12431700000001,0,0,27.124317035879702,24.64689153386298,2.477425502016722,.091335,Fr 27. Feb 20:43:13 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.477809702521682,25.53827862046377,2.939531082057912,.108372,Fr 27. Feb 20:43:13 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618606685364,26.556778950134735,3.576839656550629,.131868,Fr 27. Feb 20:43:16 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.867792611302946,29.12007376529367,5.747718846009276,.211902,Fr 27. Feb 20:43:16 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618607748357,26.557001324008507,3.576617283739850,.131860,Fr 27. Feb 20:43:16 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.110693559115546,27.123058209535223,3.987635349580323,.147013,Fr 27. Feb 20:43:18 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.261457078369027,26.029766585850133,3.231690492518894,.119143,Fr 27. Feb 20:43:18 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.261457077772935,26.02977052947816,3.231686548294775,.119143,Fr 27. Feb 20:43:18 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,27.12431700000001,0,0,27.124317036489536,24.646508686862134,2.477808349627402,.091350,Fr 27. Feb 20:43:20 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.21190862473333,27.73755082300193,4.47435780173140,.164957,Fr 27. Feb 20:43:24 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.110693560784956,27.123646608170414,3.987046952614542,.146991,Fr 27. Feb 20:43:26 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.21190862710959,27.738592238668133,4.473316388441457,.164919,Fr 27. Feb 20:43:27 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.86779260764547,29.11730208210275,5.75049052554272,.212004,Fr 27. Feb 20:43:28 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.17273587950983,30.743312059453707,7.429423820056123,.273902,Fr 27. Feb 20:43:30 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.97816124251835,31.60472347445237,8.37343776806598,.308705,Fr 27. Feb 20:43:33 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.45813761869074,28.40472191938149,5.05341569930925,.186305,Fr 27. Feb 20:43:49 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.172735872703285,30.737539542360288,7.435196330342997,.274115,Fr 27. Feb 20:43:50 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.45813761561509,28.40332338003229,5.05481423558280,.186357,Fr 27. Feb 20:43:50 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699423713303,29.913337833682412,6.533656403450618,.240878,Fr 27. Feb 20:43:50 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.94976471035959,34.10987897371731,10.83988573664228,.399637,Fr 27. Feb 20:44:25 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699423015279,29.90934645662508,6.53764777352771,.241025,Fr 27. Feb 20:44:27 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.43696522983309,33.312527575595475,10.124437654237615,.373260,Fr 27. Feb 20:44:37 CET 2026
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.763378018003884,32.47709335932362,9.286284658680264,.342360,Fr 27. Feb 20:44:41 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,450,10.493,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379251183666,35.49285481454168,10.80093769729498,.398201,Fr 27. Feb 20:45:13 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.97816125226857,31.612479458003946,8.365681794264624,.308419,Fr 27. Feb 20:45:36 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,27.12431700000001,0,0,27.124317037083642,24.64611664908962,2.478200387994022,.091364,Fr 27. Feb 21:38:42 CET 2026
6,7.749723,.49859215,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,28.477809634409414,1.353492634409404,.049899,28.477809704269895,25.537922906258128,2.939886798011767,.108385,Fr 27. Feb 21:38:42 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618608780356,26.557238511837873,3.576380096942483,.131851,Fr 27. Feb 21:38:47 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.11069356242732,27.124224970625793,3.986468591801527,.146970,Fr 27. Feb 21:38:47 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.261457078944208,26.029920570679025,3.231536508265183,.119137,Fr 27. Feb 21:38:50 CET 2026
18,23.249170,1.49577651,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,32.21190834837036,5.08759134837035,.187565,32.2119086294388,27.739645290643548,4.472263338795252,.164880,Fr 27. Feb 21:38:53 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.76912457056819,25.077506268579754,2.691618301988436,.099232,Fr 27. Feb 21:38:54 CET 2026
0,0,0,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,27.12431700000001,0,0,27.124317037669734,24.645728560207917,2.478588477461817,.091378,Fr 27. Feb 21:38:57 CET 2026
3,3.874861,.24929604,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,27.7691245194197,.64480751941969,.023772,27.769124570990652,25.07722568280445,2.691898888186202,.099243,Fr 27. Feb 21:39:00 CET 2026
21,27.124032,1.74507262,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,33.45813721660514,6.33382021660513,.233510,33.458137621702164,28.406407541491294,5.051730080210870,.186243,Fr 27. Feb 21:39:02 CET 2026
24,30.998894,1.99436873,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,34.86779203476468,7.74347503476467,.285480,34.86779261484598,29.122861454075927,5.744931160770053,.211800,Fr 27. Feb 21:39:04 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.949764731640045,34.12514290000197,10.824621831638075,.399074,Fr 27. Feb 21:39:04 CET 2026
36,46.498341,2.99155309,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,41.76337586629948,14.63905886629947,.539702,41.763378030500505,32.487046276141015,9.276331754359490,.341993,Fr 27. Feb 21:39:07 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379257889425,35.59288884526702,10.70090373362723,.394513,Fr 27. Feb 21:39:08 CET 2026
27,34.873755,2.24366477,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,36.44699341047463,9.32267641047462,.343701,36.44699424397362,29.917401743528966,6.529592500444654,.240728,Fr 27. Feb 21:39:10 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.43696526476149,33.33680158083305,10.10016368392844,.372365,Fr 27. Feb 21:39:10 CET 2026
30,38.748617,2.49296088,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,38.17273471728862,11.04841771728861,.407325,38.17273588622985,30.74894956482161,7.42378632140824,.273694,Fr 27. Feb 21:39:10 CET 2026
15,19.374308,1.24648040,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,31.11069336675871,3.98637636675870,.146966,31.11069356402128,27.12481317925397,3.98588038476731,.146948,Fr 27. Feb 21:39:17 CET 2026
9,11.624585,.74788825,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,29.261456984201196,2.137139984201186,.078790,29.26145707950762,26.030128134428736,3.231328945078884,.119130,Fr 27. Feb 21:39:18 CET 2026
42,54.248064,3.49014524,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,44.94976099462377,17.82544399462376,.657175,44.949764752272706,34.1394943184307,10.810270433842006,.398545,Fr 27. Feb 21:39:22 CET 2026
39,50.373202,3.24084913,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,43.43696237761926,16.31264537761925,.601402,43.436965245454104,33.32472989224798,10.112235353206124,.372810,Fr 27. Feb 21:39:25 CET 2026
45,58.122926,3.73944135,6.8800,27.124317,3.942488,421.6,450,10.534,27.12431700000001,46.29378780852746,19.16947080852745,.706726,46.29379254605308,35.54278935425523,10.75100319179785,.396360,Fr 27. Feb 21:39:28 CET 2026
33,42.623479,2.74225698,6.8800,27.124317,3.942488,421.6,450,10.575,27.12431700000001,39.97815964686727,12.85384264686726,.473886,39.97816126184127,31.619984346524216,8.358176915317054,.308143,Fr 27. Feb 21:39:32 CET 2026
12,15.499447,.99718436,6.8800,27.124317,3.942488,421.6,450,10.616,27.12431700000001,30.133618472116936,3.009301472116926,.110944,30.133618609793054,26.557483075027772,3.576135534765282,.131842,Fr 27. Feb 21:39:36 CET 2026
