,Prestretch_Elongation_cm,Prestretch_Elongation_cm,Prestretch_Elongation_cm,Prestretch_Elongation_cm,Prestretch_Strain,Prestretch_Strain,Prestretch_Strain,Prestretch_Strain,ROM_cm,ROM_cm,ROM_cm,ROM_cm,Contraction_Strain,Contraction_Strain,Contraction_Strain,Contraction_Strain
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Force_Target_N,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.052772,0.918759,1.56954,4.531034,0.087444,0.018987,0.049073,0.115275
3,0.816972,0.098204,0.644808,1.003777,0.023772,0.0,0.023772,0.023772,3.283642,0.959866,1.745156,4.807064,0.094144,0.01972,0.054564,0.123528
6,1.714877,0.206136,1.353493,2.106994,0.049899,0.0,0.049899,0.049899,3.544683,1.004518,1.935776,5.111375,0.10173,0.020538,0.060524,0.132764
9,2.707759,0.325484,2.13714,3.326903,0.07879,0.0,0.07879,0.07879,3.842731,1.059651,2.112039,5.482364,0.11039,0.021617,0.066035,0.143357
12,3.812789,0.458314,3.009301,4.684607,0.110944,0.0,0.110944,0.110944,4.187494,1.095688,2.409885,5.875677,0.12047,0.022048,0.076142,0.155145
15,5.050743,0.607121,3.986376,6.205626,0.146966,0.0,0.146966,0.146966,4.570453,1.121091,2.685479,6.251266,0.131722,0.022335,0.091879,0.167813
18,6.445984,0.774835,5.087591,7.919897,0.187565,0.0,0.187565,0.187565,4.993289,1.167946,3.014417,6.670351,0.144135,0.023491,0.096382,0.181735
21,8.024957,0.964634,6.33382,9.859911,0.23351,0.0,0.23351,0.23351,5.46509,1.147494,3.407182,7.063206,0.158215,0.023372,0.110928,0.197004
24,9.810992,1.179323,7.743475,12.054332,0.28548,0.0,0.28548,0.285481,6.005209,1.083969,3.866643,7.472913,0.174398,0.022382,0.137188,0.212414
27,11.811841,1.419834,9.322676,14.512689,0.343701,0.0,0.343701,0.343701,28.320972,167.016179,4.398666,1331.11129,0.871265,5.223742,0.154029,41.61863
30,13.998354,1.682661,11.048418,17.199159,0.407325,0.0,0.407324,0.407325,31.851814,122.75082,4.987007,859.689199,0.980772,3.840919,0.171625,26.87911
33,16.285833,1.957627,12.853843,20.009686,0.473886,0.0,0.473886,0.473886,151.858326,693.097961,5.592628,4797.800404,4.733327,21.673525,0.165553,150.008404
36,18.547704,2.229514,14.639059,22.788747,0.539702,0.0,0.539702,0.539702,133.766565,702.072506,4.757419,6584.272794,4.170078,21.953289,0.112669,205.86439
39,20.668138,2.484399,16.312645,25.394034,0.601402,0.0,0.601402,0.601403,224.380119,1063.806915,3.93301,11431.067489,7.006097,33.263019,0.093144,357.404654
42,22.584867,2.714799,17.825444,27.749032,0.657176,0.0,0.657175,0.657176,224.654096,1007.316594,3.590505,8382.09945,7.017223,31.496359,0.085033,262.07538
45,24.28774,2.919489,19.169471,29.841278,0.706726,0.0,0.706725,0.706727,156.950169,656.485462,3.741032,3098.824364,4.901924,20.527009,0.089094,96.888086
