Force_Target_N,Force_Actual_N,Aspect_Ratio_a_b,muscle_b_cm,muscle_a_cm,Volume_cm3,Am,Rho,Initial_Length_cm,Final_Length_cm,Elongation_cm,Strain,Completed_Date
0,0,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.072878000000001,.000000000000001,0,Do 29. Jan 21:21:09 CET 2026
30,29.999886,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.101486553801203,.028608553801203,.013801,Do 29. Jan 21:21:14 CET 2026
6,5.999977,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0784784070582973,.0056004070582973,.002701,Do 29. Jan 21:21:16 CET 2026
21,20.999920,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0927423655523993,.0198643655523993,.009582,Do 29. Jan 21:21:17 CET 2026
3,2.999988,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0756708197553975,.0027928197553975,.001347,Do 29. Jan 21:21:17 CET 2026
18,17.999931,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0898590030825175,.0169810030825175,.008191,Do 29. Jan 21:21:18 CET 2026
15,14.999943,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0869909950733017,.0141129950733017,.006808,Do 29. Jan 21:21:25 CET 2026
12,11.999954,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0841383444190207,.0112603444190207,.005432,Do 29. Jan 21:21:25 CET 2026
24,23.999909,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.095641286250247,.022763286250247,.010981,Do 29. Jan 21:21:25 CET 2026
42,41.999840,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.113369413153747,.040491413153747,.019533,Do 29. Jan 21:21:27 CET 2026
9,8.999965,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.0813008686109726,.0084228686109726,.004063,Do 29. Jan 21:21:31 CET 2026
39,38.999852,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.1103745354121046,.0374965354121046,.018089,Do 29. Jan 21:21:31 CET 2026
36,35.999863,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.1073956302252177,.0345176302252177,.016652,Do 29. Jan 21:21:33 CET 2026
45,44.999829,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.1163820539195752,.0435040539195752,.020987,Do 29. Jan 21:21:33 CET 2026
33,32.999874,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.104432850344981,.031554850344981,.015222,Do 29. Jan 21:21:35 CET 2026
27,26.999897,6.8800,2.072878,14.261400,421.6,550,10.493,2.072878,2.098556019732535,.025678019732535,.012387,Do 29. Jan 21:21:38 CET 2026
3,3.304397,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8844555396257139,.0025355396257139,.001347,Do 29. Jan 21:22:16 CET 2026
0,0,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8819200000000007,.0000000000000007,0,Do 29. Jan 21:22:27 CET 2026
15,16.521988,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8947329161098905,.0128129161098905,.006808,Do 29. Jan 21:36:26 CET 2026
6,6.608795,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8870044787343807,.0050844787343807,.002701,Do 29. Jan 21:36:31 CET 2026
9,9.913193,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8895669350923185,.0076469350923185,.004063,Do 29. Jan 21:36:36 CET 2026
18,19.826386,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8973366877277658,.0154166877277658,.008191,Do 29. Jan 21:36:42 CET 2026
39,42.957170,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.9159623888824078,.0340423888824078,.018089,Do 29. Jan 21:36:45 CET 2026
21,23.130783,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8999543687841551,.0180343687841551,.009582,Do 29. Jan 21:36:49 CET 2026
12,13.217590,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.8921430567639304,.0102230567639304,.005432,Do 29. Jan 21:36:49 CET 2026
42,46.261567,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.9186816732567558,.0367616732567558,.019534,Do 29. Jan 21:36:51 CET 2026
30,33.043977,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.9078929830157978,.0259729830157978,.013801,Do 29. Jan 21:36:53 CET 2026
45,49.565965,7.9533,1.881920,14.967474,421.6,550,10.493,1.881920,1.9214162835739677,.0394962835739677,.020987,Do 29. Jan 21:36:54 CET 2026
