folder_name,force_N,muscle_extent_y_cm,volume_cm3,am_cm_inv,rho_1e4_kg_cm3,cross_sectional_length_a_cm,top_surface_area_cm2,effective_traction_N_cm2,force_rescaled_N,z_max_cm,z_min_cm,rom_cm
F00_y32.69_Vol421.6_Am450_rho10.493,0.0,32.69,421.6,450.0,10.493,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.3909905,3.29900973
F00_y32.69_Vol421.6_Am450_rho10.534,0.0,32.69,421.6,450.0,10.534,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.3929649,3.29703533
F00_y32.69_Vol421.6_Am450_rho10.575,0.0,32.69,421.6,450.0,10.575,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.39496794,3.29503229
F00_y32.69_Vol421.6_Am450_rho10.616,0.0,32.69,421.6,450.0,10.616,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.3969044,3.29309583
F00_y32.69_Vol421.6_Am500_rho10.493,0.0,32.69,421.6,500.0,10.493,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38363089,3.30636934
F00_y32.69_Vol421.6_Am500_rho10.534,0.0,32.69,421.6,500.0,10.534,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38561346,3.30438677
F00_y32.69_Vol421.6_Am500_rho10.575,0.0,32.69,421.6,500.0,10.575,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38751707,3.30248316
F00_y32.69_Vol421.6_Am500_rho10.616,0.0,32.69,421.6,500.0,10.616,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38946067,3.30053957
F00_y32.69_Vol421.6_Am550_rho10.493,0.0,32.69,421.6,550.0,10.493,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.37630262,3.31369761
F00_y32.69_Vol421.6_Am550_rho10.534,0.0,32.69,421.6,550.0,10.534,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.37820132,3.31179891
F00_y32.69_Vol421.6_Am550_rho10.575,0.0,32.69,421.6,550.0,10.575,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38012326,3.30987697
F00_y32.69_Vol421.6_Am550_rho10.616,0.0,32.69,421.6,550.0,10.616,3.591226861414324,12.896910370143777,0.0,0.0,32.69000023,29.38211701,3.30788322
F00_y32.69_Vol455.9_Am450_rho10.493,0.0,32.69,455.9,450.0,10.493,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.59545447,3.09454572
F00_y32.69_Vol455.9_Am450_rho10.534,0.0,32.69,455.9,450.0,10.534,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.5971668,3.0928334
F00_y32.69_Vol455.9_Am450_rho10.575,0.0,32.69,455.9,450.0,10.575,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,32.0447528,0.64524739
F00_y32.69_Vol455.9_Am450_rho10.616,0.0,32.69,455.9,450.0,10.616,3.734455904877668,13.946160905475681,0.0,0.0,32.6900002,29.60047292,3.08952728
F00_y32.69_Vol455.9_Am500_rho10.493,0.0,32.69,455.9,500.0,10.493,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.5890623,3.10093789
F00_y32.69_Vol455.9_Am500_rho10.534,0.0,32.69,455.9,500.0,10.534,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.59077365,3.09922654
F00_y32.69_Vol455.9_Am500_rho10.575,0.0,32.69,455.9,500.0,10.575,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.59237544,3.09762475
F00_y32.69_Vol455.9_Am500_rho10.616,0.0,32.69,455.9,500.0,10.616,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.59403804,3.09596216
F00_y32.69_Vol455.9_Am550_rho10.493,0.0,32.69,455.9,550.0,10.493,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.58285781,3.10714238
F00_y32.69_Vol455.9_Am550_rho10.534,0.0,32.69,455.9,550.0,10.534,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.58448158,3.10551861
F00_y32.69_Vol455.9_Am550_rho10.575,0.0,32.69,455.9,550.0,10.575,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.58613098,3.10386922
F00_y32.69_Vol455.9_Am550_rho10.616,0.0,32.69,455.9,550.0,10.616,3.734455904877668,13.946160905475681,0.0,0.0,32.69000019,29.58776677,3.10223342
F00_y32.69_Vol514.7_Am450_rho10.493,0.0,32.69,514.7,450.0,10.493,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88984221,2.80015792
F00_y32.69_Vol514.7_Am450_rho10.534,0.0,32.69,514.7,450.0,10.534,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.89123345,2.79876668
F00_y32.69_Vol514.7_Am450_rho10.575,0.0,32.69,514.7,450.0,10.575,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.8926053,2.79739483
F00_y32.69_Vol514.7_Am450_rho10.616,0.0,32.69,514.7,450.0,10.616,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.89399281,2.79600733
F00_y32.69_Vol514.7_Am500_rho10.493,0.0,32.69,514.7,500.0,10.493,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88584714,2.80415299
F00_y32.69_Vol514.7_Am500_rho10.534,0.0,32.69,514.7,500.0,10.534,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88723814,2.80276199
F00_y32.69_Vol514.7_Am500_rho10.575,0.0,32.69,514.7,500.0,10.575,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88853725,2.80146288
F00_y32.69_Vol514.7_Am500_rho10.616,0.0,32.69,514.7,500.0,10.616,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.8899202,2.80007994
F00_y32.69_Vol514.7_Am550_rho10.493,0.0,32.69,514.7,550.0,10.493,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88158585,2.80841428
F00_y32.69_Vol514.7_Am550_rho10.534,0.0,32.69,514.7,550.0,10.534,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88293672,2.80706341
F00_y32.69_Vol514.7_Am550_rho10.575,0.0,32.69,514.7,550.0,10.575,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88418347,2.80581666
F00_y32.69_Vol514.7_Am550_rho10.616,0.0,32.69,514.7,550.0,10.616,3.967981364485197,15.744876108901808,0.0,0.0,32.69000013,29.88559722,2.80440291
F00_y32.69_Vol573.5_Am450_rho10.493,0.0,32.69,573.5,450.0,10.493,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13242505,2.55757504
F00_y32.69_Vol573.5_Am450_rho10.534,0.0,32.69,573.5,450.0,10.534,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13354463,2.55645546
F00_y32.69_Vol573.5_Am450_rho10.575,0.0,32.69,573.5,450.0,10.575,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13466849,2.5553316
F00_y32.69_Vol573.5_Am450_rho10.616,0.0,32.69,573.5,450.0,10.616,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13574815,2.55425194
F00_y32.69_Vol573.5_Am500_rho10.493,0.0,32.69,573.5,500.0,10.493,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13006206,2.55993803
F00_y32.69_Vol573.5_Am500_rho10.534,0.0,32.69,573.5,500.0,10.534,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13116006,2.55884003
F00_y32.69_Vol573.5_Am500_rho10.575,0.0,32.69,573.5,500.0,10.575,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13223061,2.55776948
F00_y32.69_Vol573.5_Am500_rho10.616,0.0,32.69,573.5,500.0,10.616,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13339005,2.55661005
F00_y32.69_Vol573.5_Am550_rho10.493,0.0,32.69,573.5,550.0,10.493,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.1277327,2.56226738
F00_y32.69_Vol573.5_Am550_rho10.534,0.0,32.69,573.5,550.0,10.534,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.1287939,2.56120619
F00_y32.69_Vol573.5_Am550_rho10.575,0.0,32.69,573.5,550.0,10.575,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.12981657,2.56018352
F00_y32.69_Vol573.5_Am550_rho10.616,0.0,32.69,573.5,550.0,10.616,4.188507050528616,17.54359131232793,0.0,0.0,32.69000009,30.13091889,2.5590812
F00_y32.69_Vol632.3_Am450_rho10.493,0.0,32.69,632.3,450.0,10.493,4.397988917193182,19.342306515754053,0.0,0.0,32.69000006,30.33427729,2.35572277
F00_y32.69_Vol632.3_Am450_rho10.534,0.0,32.69,632.3,450.0,10.534,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33521657,2.35478349
F00_y32.69_Vol632.3_Am450_rho10.575,0.0,32.69,632.3,450.0,10.575,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33610244,2.35389763
F00_y32.69_Vol632.3_Am450_rho10.616,0.0,32.69,632.3,450.0,10.616,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33699397,2.35300609
F00_y32.69_Vol632.3_Am500_rho10.493,0.0,32.69,632.3,500.0,10.493,4.397988917193182,19.342306515754053,0.0,0.0,32.69000006,30.33300017,2.3569999
F00_y32.69_Vol632.3_Am500_rho10.534,0.0,32.69,632.3,500.0,10.534,4.397988917193182,19.342306515754053,0.0,0.0,32.69000006,30.33388884,2.35611123
F00_y32.69_Vol632.3_Am500_rho10.575,0.0,32.69,632.3,500.0,10.575,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33470552,2.35529455
F00_y32.69_Vol632.3_Am500_rho10.616,0.0,32.69,632.3,500.0,10.616,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33561847,2.3543816
F00_y32.69_Vol632.3_Am550_rho10.493,0.0,32.69,632.3,550.0,10.493,4.397988917193182,19.342306515754053,0.0,0.0,32.69000006,30.33151367,2.3584864
F00_y32.69_Vol632.3_Am550_rho10.534,0.0,32.69,632.3,550.0,10.534,4.397988917193182,19.342306515754053,0.0,0.0,32.69000006,30.33238602,2.35761405
F00_y32.69_Vol632.3_Am550_rho10.575,0.0,32.69,632.3,550.0,10.575,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33327585,2.35672422
F00_y32.69_Vol632.3_Am550_rho10.616,0.0,32.69,632.3,550.0,10.616,4.397988917193182,19.342306515754053,0.0,0.0,32.69000007,30.33418618,2.35581389
F00_y32.69_Vol691.2_Am450_rho10.493,0.0,32.69,691.2,450.0,10.493,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50325298,2.18674707
F00_y32.69_Vol691.2_Am450_rho10.534,0.0,32.69,691.2,450.0,10.534,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50402662,2.18597342
F00_y32.69_Vol691.2_Am450_rho10.575,0.0,32.69,691.2,450.0,10.575,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50480389,2.18519615
F00_y32.69_Vol691.2_Am450_rho10.616,0.0,32.69,691.2,450.0,10.616,4.598269322108242,21.14408075864179,0.0,0.0,32.69000005,30.50558455,2.18441549
F00_y32.69_Vol691.2_Am500_rho10.493,0.0,32.69,691.2,500.0,10.493,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50228529,2.18771475
F00_y32.69_Vol691.2_Am500_rho10.534,0.0,32.69,691.2,500.0,10.534,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50308868,2.18691137
F00_y32.69_Vol691.2_Am500_rho10.575,0.0,32.69,691.2,500.0,10.575,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.5038795,2.18612055
F00_y32.69_Vol691.2_Am500_rho10.616,0.0,32.69,691.2,500.0,10.616,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50460643,2.18539362
F00_y32.69_Vol691.2_Am550_rho10.493,0.0,32.69,691.2,550.0,10.493,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50131574,2.18868431
F00_y32.69_Vol691.2_Am550_rho10.534,0.0,32.69,691.2,550.0,10.534,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50205838,2.18794167
F00_y32.69_Vol691.2_Am550_rho10.575,0.0,32.69,691.2,550.0,10.575,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50282262,2.18717742
F00_y32.69_Vol691.2_Am550_rho10.616,0.0,32.69,691.2,550.0,10.616,4.598269322108242,21.14408075864179,0.0,0.0,32.69000004,30.50356285,2.18643719
F00_y32.69_Vol738.0_Am450_rho10.493,0.0,32.69,738.0,450.0,10.493,4.751390451928238,22.575711226674827,0.0,0.0,32.69000003,30.61785287,2.07214717
F00_y32.69_Vol738.0_Am450_rho10.534,0.0,32.69,738.0,450.0,10.534,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.61859575,2.07140429
F00_y32.69_Vol738.0_Am450_rho10.575,0.0,32.69,738.0,450.0,10.575,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.61933915,2.07066089
F00_y32.69_Vol738.0_Am450_rho10.616,0.0,32.69,738.0,450.0,10.616,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.61997411,2.07002593
F00_y32.69_Vol738.0_Am500_rho10.493,0.0,32.69,738.0,500.0,10.493,4.751390451928238,22.575711226674827,0.0,0.0,32.69000003,30.61684196,2.07315807
F00_y32.69_Vol738.0_Am500_rho10.534,0.0,32.69,738.0,500.0,10.534,4.751390451928238,22.575711226674827,0.0,0.0,32.69000003,30.6175146,2.07248543
F00_y32.69_Vol738.0_Am500_rho10.575,0.0,32.69,738.0,500.0,10.575,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.6182143,2.07178573
F00_y32.69_Vol738.0_Am500_rho10.616,0.0,32.69,738.0,500.0,10.616,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.6188698,2.07113023
F00_y32.69_Vol738.0_Am550_rho10.493,0.0,32.69,738.0,550.0,10.493,4.751390451928238,22.575711226674827,0.0,0.0,32.69000003,30.61599175,2.07400829
F00_y32.69_Vol738.0_Am550_rho10.534,0.0,32.69,738.0,550.0,10.534,4.751390451928238,22.575711226674827,0.0,0.0,32.69000003,30.61669642,2.07330362
F00_y32.69_Vol738.0_Am550_rho10.575,0.0,32.69,738.0,550.0,10.575,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.6172469,2.07275314
F00_y32.69_Vol738.0_Am550_rho10.616,0.0,32.69,738.0,550.0,10.616,4.751390451928238,22.575711226674827,0.0,0.0,32.69000004,30.6179494,2.07205063
F00_y33.19_Vol421.6_Am450_rho10.493,0.0,33.19,421.6,450.0,10.493,3.564073690521467,12.702621271467311,0.0,0.0,33.19000028,29.76923278,3.4207675
F00_y33.19_Vol421.6_Am450_rho10.534,0.0,33.19,421.6,450.0,10.534,3.564073690521467,12.702621271467311,0.0,0.0,33.19000028,29.77143159,3.41856869
F00_y33.19_Vol421.6_Am450_rho10.575,0.0,33.19,421.6,450.0,10.575,3.564073690521467,12.702621271467311,0.0,0.0,33.19000028,29.77356541,3.41643487
F00_y33.19_Vol421.6_Am450_rho10.616,0.0,33.19,421.6,450.0,10.616,3.564073690521467,12.702621271467311,0.0,0.0,33.19000029,29.77568674,3.41431355
