  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
     1       1              inf              inf   7.99360578e-15              inf              inf   3.99680289e-15
     2       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     3       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     4       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     5       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     6       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     7       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     8       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     9       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    10       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    11       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    12       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    13       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    14       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    15       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    16       1              inf              inf   1.59822845e-09              inf              inf   0.00000000e+00
    17       1              inf              inf   4.73176092e-12              inf              inf   0.00000000e+00
    18       1              inf              inf   9.46516441e-12              inf              inf   0.00000000e+00
    19       1              inf              inf   1.41956112e-11              inf              inf   0.00000000e+00
    20       1              inf              inf   1.38173868e-09              inf              inf   0.00000000e+00
    21       1              inf              inf   2.79517135e-11              inf              inf   0.00000000e+00
    22       1              inf              inf   3.69742225e-11              inf              inf   0.00000000e+00
    23       1              inf              inf   1.23812403e-09              inf              inf   0.00000000e+00
    24       1              inf              inf   5.93741937e-11              inf              inf   0.00000000e+00
    25       1              inf              inf   7.27515406e-11              inf              inf   0.00000000e+00
    26       1              inf              inf   1.71240803e-09              inf              inf   0.00000000e+00
    27       1              inf              inf   1.04933660e-10              inf              inf   0.00000000e+00
    28       1              inf              inf   4.49090771e-10              inf              inf   0.00000000e+00
    29       1              inf              inf   1.46750058e-10              inf              inf   0.00000000e+00
    30       1              inf              inf   1.92084356e-09              inf              inf   0.00000000e+00
    31       1              inf              inf   1.97564002e-10              inf              inf   0.00000000e+00
    32       1              inf              inf   3.73770825e-10              inf              inf   0.00000000e+00
    33       1              inf              inf   2.58435319e-10              inf              inf   0.00000000e+00
    34       1              inf              inf   2.46854084e-09              inf              inf   0.00000000e+00
    35       1              inf              inf   3.30540946e-10              inf              inf   0.00000000e+00
    36       1              inf              inf   1.23742189e-09              inf              inf   0.00000000e+00
