  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
     1       1              inf              inf   7.99360578e-15              inf              inf   3.99680289e-15
     2       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     3       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     4       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     5       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     6       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     7       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     8       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     9       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    10       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    11       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    12       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    13       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    14       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    15       1              inf              inf   2.56214585e-09              inf              inf   0.00000000e+00
    16       1              inf              inf   3.46117077e-12              inf              inf   0.00000000e+00
    17       1              inf              inf   6.92502813e-12              inf              inf   0.00000000e+00
    18       1              inf              inf   1.03852827e-11              inf              inf   0.00000000e+00
    19       1              inf              inf   2.55448460e-09              inf              inf   0.00000000e+00
    20       1              inf              inf   2.07045917e-11              inf              inf   0.00000000e+00
    21       1              inf              inf   2.75601231e-11              inf              inf   0.00000000e+00
    22       1              inf              inf   2.62391033e-09              inf              inf   0.00000000e+00
    23       1              inf              inf   4.47599235e-11              inf              inf   0.00000000e+00
    24       1              inf              inf   5.51048155e-11              inf              inf   0.00000000e+00
    25       1              inf              inf   3.54608637e-09              inf              inf   0.00000000e+00
    26       1              inf              inf   8.01565998e-11              inf              inf   0.00000000e+00
    27       1              inf              inf   2.19624763e-09              inf              inf   0.00000000e+00
    28       1              inf              inf   1.12912311e-10              inf              inf   0.00000000e+00
    29       1              inf              inf   3.58881328e-09              inf              inf   0.00000000e+00
    30       1              inf              inf   1.52813130e-10              inf              inf   0.00000000e+00
    31       1              inf              inf   2.33801596e-09              inf              inf   0.00000000e+00
    32       1              inf              inf   2.00600300e-10              inf              inf   0.00000000e+00
    33       1              inf              inf   4.65788761e-09              inf              inf   0.00000000e+00
    34       1              inf              inf   2.57071205e-10              inf              inf   0.00000000e+00
    35       1              inf              inf   2.41618620e-09              inf              inf   0.00000000e+00
    36       1              inf              inf   2.68687302e-09              inf              inf   0.00000000e+00
