Force_N,4x4_ROM_cm,4x4_z_max_cm,4x4_z_min_cm,4x4_prestretch_elongation_cm,8x8_ROM_cm,8x8_z_max_cm,8x8_z_min_cm,8x8_prestretch_elongation_cm,ROM_Difference_cm,ROM_Difference_Percent
0,2.66069229977492,34.97000011630846,32.30930781653354,0.0,1.54464190151633,34.97000037334792,33.42535847183159,0.0,-1.11605039825859,-41.945864929702765
1,2.70145133472039,35.13234319587474,32.43089186115435,0.0,1.55829554435147,35.13234347480507,33.5740479304536,0.0,-1.14315579036892,-42.31635697732237
2,2.74328029207813,35.29766872092971,32.55438842885158,0.0,1.572289527774026,35.29766863278664,33.725379105012614,0.0,-1.170990764304104,-42.685786344385455
3,2.78612641877263,35.46606936367809,32.67994294490546,0.0,1.58677327291408,35.46606780765951,33.87929453474543,0.0,-1.1993531458585498,-43.04733402538496
4,2.829890486511295,35.637641957914155,32.80775147140286,0.0,1.601598356387334,35.637642230408964,34.03604387402163,0.0,-1.228292130123961,-43.40422839606796
5,2.87488596336331,35.81248699928112,32.93760103591781,0.0,1.616879567210436,35.812487316688596,34.19560774947816,0.0,-1.258006396152874,-43.758479890490705
6,2.92102118036973,35.99070956519805,33.06968838482832,0.0,1.63249906763458,35.99070982087534,34.35821075324076,0.0,-1.2885221127351498,-44.11204278128701
7,2.968332495984756,36.17241874557695,33.204086249592194,0.0,1.648567693362894,36.17241903527893,34.523851341916036,0.0,-1.319764802621862,-44.461488206159494
8,3.01414587133011,36.35772856980465,33.34358269847454,0.0,1.66507333500282,36.35772882464809,34.69265548964527,0.0,-1.34907253632729,-44.75803739823511
9,3.05295756495949,36.54675773750313,33.49380017254364,0.0,1.6820109772673,36.5467578673182,34.8647468900509,0.0,-1.37094658769219,-44.90552385749853
10,3.08515045358094,36.73962954832424,33.6544790947433,0.0,1.69934026015622,36.73962979160615,35.04028953144993,0.0,-1.38581019342472,-44.918723228431446
11,3.111235011830805,36.936473599665725,33.82523858783492,0.0,1.71692294546841,36.93647347581501,35.2195505303466,0.0,-1.394312066362395,-44.815388778423156
12,3.13198672951109,37.13742294365139,34.0054362141403,0.0,1.73340790796287,37.13742311241064,35.40401520444777,0.0,-1.3985788215482202,-44.65468542283835
13,3.148884013040714,37.342617897493994,34.19373388445328,0.0,1.74829445095222,37.34261856649754,35.59432411554532,0.0,-1.400589562088494,-44.4789187625878
14,3.16283864558204,37.55220461611453,34.38936597053249,0.0,1.76110607687451,37.55220547137079,35.79109939449628,0.0,-1.4017325687075302,-44.318813755027236
15,3.175320771992915,37.76633435330983,34.591013581316915,0.0,1.771328127192665,37.76633540485251,35.995007277659845,0.0,-1.40399264480025,-44.215773637227436
16,3.187901643353986,37.985164230559306,34.79726258720532,0.0,1.778867979346231,37.985166093605855,36.206298114259624,0.0,-1.4090336640077552,-44.19940831440813
17,3.20180744043246,38.20886226304153,35.00705482260907,0.0,1.783436297023675,38.20886151905008,36.425425222026405,0.0,-1.418371143408785,-44.299076999371614
18,3.21793208961628,38.43759088896458,35.2196587993483,0.0,1.78511908220627,38.43759238466395,36.65247330245768,0.0,-1.43281300741001,-44.525893260254136
19,3.23753714458626,38.67153310936267,35.43399596477641,0.0,1.78420268880445,38.67153536850698,36.88733267970253,0.0,-1.45333445578181,-44.89012452604736
20,3.260708826262535,38.91087617105075,35.650167344788215,0.0,1.780922277606869,38.910874154970514,37.129951877363645,0.0,-1.479786548655666,-45.382357870690825
21,3.28757643805133,39.15580192632121,35.86822548826988,0.0,1.77572732603515,39.15579839577981,37.38007106974466,0.0,-1.5118491120161799,-45.986736445656895
22,3.31800724161639,39.40651054869198,36.08850330707559,0.0,1.76890320746114,39.40650475685003,37.63760154938889,0.0,-1.5491040341552502,-46.6877833997913
23,3.35089953081845,39.66320477751397,36.31230524669552,0.0,1.76095014640491,39.66319568775517,37.90224554135026,0.0,-1.5899493844135402,-47.44843495875265
24,3.385438808021022,39.926093822089776,36.540655014068754,0.0,1.75194274649077,39.92608054212303,38.17413779563226,0.0,-1.6334960615302518,-48.2506450171262
25,3.419764083228954,40.1953918851542,36.775627801925246,0.0,1.741880662844706,40.195371549462116,38.45349088661741,0.0,-1.677883420384248,-49.064303254509426
26,3.452677362860079,40.471318703744224,37.018641340884145,0.0,1.730472082078776,40.47128913668277,38.740817054603994,0.0,-1.7222052807813029,-49.8802841906632
27,3.48178502825556,40.75409827985711,37.27231325160155,0.0,1.71750935257106,40.75405536227715,39.03654600970609,0.0,-1.7642756756845,-50.671585447319686
28,3.505704363256179,41.043957328046325,37.538252964790146,0.0,1.70299165958036,41.04395702071913,39.34096536113877,0.0,-1.802712703675819,-51.42226830563139
29,3.52220316349888,41.34112462450864,37.81892146100976,0.0,1.68685131916758,41.341124237544136,39.654272918376556,0.0,-1.8353518443313,-52.10806302575974
30,3.529476046620935,41.64582944999217,38.116353403371235,0.0,1.669658613550305,41.64582879950244,39.976170185952135,0.0,-1.8598174330706299,-52.69386754589792
31,3.52557876698244,41.95829852202113,38.43271975503869,0.0,1.652119268472926,41.9582978828827,40.306178614409774,0.0,-1.873459498509514,-53.139062330835884
32,3.50917677917924,42.27875504376036,38.76957826458112,0.0,1.635216191571926,42.278754329599316,40.64353813802739,0.0,-1.8739605876073138,-53.40171514658243
33,3.47850826586109,42.60741411740414,39.12890585154305,0.0,1.62018715213921,42.60741356232852,40.98722641018931,0.0,-1.8583211137218802,-53.42293223678342
34,3.43257024341733,42.94448133894659,39.51191109552926,0.0,1.6080663987857,42.94447985546258,41.33641345667688,0.0,-1.82450384463163,-53.15270235563269
35,3.371171743649876,43.290143136154576,39.9189713925047,0.0,1.599644957815254,43.290142127471334,41.69049716965608,0.0,-1.7715267858346218,-52.54928910612658
